,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,specialty-chemicals,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,other-industrial-metals-and-mining,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,steel,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,chemicals,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,building-materials,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,agricultural-inputs,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,other-precious-metals-and-mining,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,coking-coal,coking-coal,coking-coal,coking-coal,coking-coal,coking-coal,coking-coal,coking-coal,coking-coal,coking-coal,coking-coal,coking-coal,coking-coal,coking-coal,coking-coal,coking-coal,coking-coal,coking-coal,coking-coal,coking-coal,coking-coal,coking-coal,coking-coal,coking-coal,coking-coal,coking-coal,coking-coal,coking-coal,coking-coal,coking-coal,coking-coal,coking-coal,coking-coal,coking-coal,coking-coal,lumber-and-wood-production,lumber-and-wood-production,lumber-and-wood-production,lumber-and-wood-production,lumber-and-wood-production,lumber-and-wood-production,lumber-and-wood-production,lumber-and-wood-production,lumber-and-wood-production,lumber-and-wood-production,lumber-and-wood-production,lumber-and-wood-production,lumber-and-wood-production,lumber-and-wood-production,lumber-and-wood-production,lumber-and-wood-production,lumber-and-wood-production,lumber-and-wood-production,lumber-and-wood-production,lumber-and-wood-production,lumber-and-wood-production,lumber-and-wood-production,lumber-and-wood-production,lumber-and-wood-production,lumber-and-wood-production,lumber-and-wood-production,lumber-and-wood-production,lumber-and-wood-production,lumber-and-wood-production,lumber-and-wood-production,lumber-and-wood-production,lumber-and-wood-production,lumber-and-wood-production,lumber-and-wood-production,lumber-and-wood-production
,ECVT,ECVT,ECVT,ECVT,ECVT,ECVT,ECVT,ODC,ODC,ODC,ODC,ODC,ODC,ODC,LWLG,LWLG,LWLG,LWLG,LWLG,LWLG,LWLG,KRO,KRO,KRO,KRO,KRO,KRO,KRO,GEVO,GEVO,GEVO,GEVO,GEVO,GEVO,GEVO,KOP,KOP,KOP,KOP,KOP,KOP,KOP,HDSN,HDSN,HDSN,HDSN,HDSN,HDSN,HDSN,MNTK,MNTK,MNTK,MNTK,MNTK,MNTK,MNTK,ODV,ODV,ODV,ODV,ODV,ODV,ODV,IAUX,IAUX,IAUX,IAUX,IAUX,IAUX,IAUX,CMCL,CMCL,CMCL,CMCL,CMCL,CMCL,CMCL,GROY,GROY,GROY,GROY,GROY,GROY,GROY,IDR,IDR,IDR,IDR,IDR,IDR,IDR,NFGC,NFGC,NFGC,NFGC,NFGC,NFGC,NFGC,DC,DC,DC,DC,DC,DC,DC,BGL,BGL,BGL,BGL,BGL,BGL,BGL,GSM,GSM,GSM,GSM,GSM,GSM,GSM,SLI,SLI,SLI,SLI,SLI,SLI,SLI,NB,NB,NB,NB,NB,NB,NB,CMP,CMP,CMP,CMP,CMP,CMP,CMP,SGML,SGML,SGML,SGML,SGML,SGML,SGML,NEXA,NEXA,NEXA,NEXA,NEXA,NEXA,NEXA,EMX,EMX,EMX,EMX,EMX,EMX,EMX,LZM,LZM,LZM,LZM,LZM,LZM,LZM,MTUS,MTUS,MTUS,MTUS,MTUS,MTUS,MTUS,NWPX,NWPX,NWPX,NWPX,NWPX,NWPX,NWPX,MSB,MSB,MSB,MSB,MSB,MSB,MSB,ASTL,ASTL,ASTL,ASTL,ASTL,ASTL,ASTL,LUD,LUD,LUD,LUD,LUD,LUD,LUD,FRD,FRD,FRD,FRD,FRD,FRD,FRD,HLP,HLP,HLP,HLP,HLP,HLP,HLP,KBSX,KBSX,KBSX,KBSX,KBSX,KBSX,KBSX,ASPI,ASPI,ASPI,ASPI,ASPI,ASPI,ASPI,WLKP,WLKP,WLKP,WLKP,WLKP,WLKP,WLKP,GPRE,GPRE,GPRE,GPRE,GPRE,GPRE,GPRE,LXU,LXU,LXU,LXU,LXU,LXU,LXU,ASIX,ASIX,ASIX,ASIX,ASIX,ASIX,ASIX,RYAM,RYAM,RYAM,RYAM,RYAM,RYAM,RYAM,VHI,VHI,VHI,VHI,VHI,VHI,VHI,DOW,DOW,DOW,DOW,DOW,DOW,DOW,LOMA,LOMA,LOMA,LOMA,LOMA,LOMA,LOMA,CPAC,CPAC,CPAC,CPAC,CPAC,CPAC,CPAC,SMID,SMID,SMID,SMID,SMID,SMID,SMID,CRH,CRH,CRH,CRH,CRH,CRH,CRH,MLM,MLM,MLM,MLM,MLM,MLM,MLM,CAPT,CAPT,CAPT,CAPT,CAPT,CAPT,CAPT,CX,CX,CX,CX,CX,CX,CX,RETO,RETO,RETO,RETO,RETO,RETO,RETO,UAN,UAN,UAN,UAN,UAN,UAN,UAN,IPI,IPI,IPI,IPI,IPI,IPI,IPI,LVRO,LVRO,LVRO,LVRO,LVRO,LVRO,LVRO,AVD,AVD,AVD,AVD,AVD,AVD,AVD,CTVA,CTVA,CTVA,CTVA,CTVA,CTVA,CTVA,NTR,NTR,NTR,NTR,NTR,NTR,NTR,CF,CF,CF,CF,CF,CF,CF,SEED,SEED,SEED,SEED,SEED,SEED,SEED,ASM,ASM,ASM,ASM,ASM,ASM,ASM,MTA,MTA,MTA,MTA,MTA,MTA,MTA,ITRG,ITRG,ITRG,ITRG,ITRG,ITRG,ITRG,NEWP,NEWP,NEWP,NEWP,NEWP,NEWP,NEWP,VOXR,VOXR,VOXR,VOXR,VOXR,VOXR,VOXR,LODE,LODE,LODE,LODE,LODE,LODE,LODE,HL,HL,HL,HL,HL,HL,HL,BVN,BVN,BVN,BVN,BVN,BVN,BVN,SCCO,SCCO,SCCO,SCCO,SCCO,SCCO,SCCO,FCX,FCX,FCX,FCX,FCX,FCX,FCX,HBM,HBM,HBM,HBM,HBM,HBM,HBM,ERO,ERO,ERO,ERO,ERO,ERO,ERO,TGB,TGB,TGB,TGB,TGB,TGB,TGB,MTAL,MTAL,MTAL,MTAL,MTAL,MTAL,MTAL,SXC,SXC,SXC,SXC,SXC,SXC,SXC,AREC,AREC,AREC,AREC,AREC,AREC,AREC,HCC,HCC,HCC,HCC,HCC,HCC,HCC,METC,METC,METC,METC,METC,METC,METC,AMR,AMR,AMR,AMR,AMR,AMR,AMR,NWGL,NWGL,NWGL,NWGL,NWGL,NWGL,NWGL,JCTC,JCTC,JCTC,JCTC,JCTC,JCTC,JCTC,SSD,SSD,SSD,SSD,SSD,SSD,SSD,WFG,WFG,WFG,WFG,WFG,WFG,WFG,BCC,BCC,BCC,BCC,BCC,BCC,BCC
,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions,open,high,low,close,volume,vwap,transactions
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-10,9.86,9.915,9.725,9.85,460989.0,9.8444,5514.0,31.47,31.945,31.3925,31.84,23504.0,31.7968,847.0,4.92,5.2167,4.84,5.1,540411.0,5.0938,4972.0,6.84,7.21,6.83,7.16,146233.0,7.1347,2669.0,1.02,1.2,1.02,1.18,4478196.0,1.1463,10199.0,38.92,39.36,38.675,39.03,61634.0,39.0259,1656.0,13.68,13.97,13.58,13.75,533785.0,13.7392,6891.0,9.54,9.7,9.28,9.53,300272.0,9.5155,3062.0,3.65,3.65,3.4101,3.46,54543.0,3.5193,520.0,1.57,1.57,1.49,1.5,1643616.0,1.5099,3401.0,10.6,11.02,10.59,10.78,49441.0,10.8501,691.0,1.29,1.29,1.22,1.24,473865.0,1.2502,2205.0,4.61,4.83,4.6,4.7,17297.0,4.6653,177.0,4.08,4.12,4.005,4.06,127243.0,4.0544,1831.0,2.78,2.82,2.72,2.75,169006.0,2.7543,1080.0,,,,,,,,5.09,5.19,5.09,5.14,543977.0,5.1503,6764.0,2.77,2.955,2.66,2.93,1100076.0,2.8425,7233.0,3.49,3.55,3.35,3.52,157373.0,3.4944,492.0,27.26,27.76,27.2,27.33,223753.0,27.3775,4450.0,28.44,29.09,27.84,28.34,1134708.0,28.3538,17580.0,5.95,5.99,5.83,5.98,21660.0,5.9278,493.0,2.01,2.0299,1.82,1.85,521548.0,1.921,1776.0,12.06,12.62,11.6601,11.78,332727.0,12.022,1818.0,,,,,,,,29.31,30.1599,29.31,29.88,30521.0,29.9869,850.0,20.75,20.9,20.31,20.54,7687.0,20.6793,144.0,6.69,6.74,6.58,6.62,273791.0,6.6634,3877.0,,,,,,,,12.98,13.02,12.6001,12.88,13114,12.7348,164,1.4704,1.61,1.4601,1.59,79130.0,1.5429,404.0,,,,,,,,1.11,1.12,1.06,1.06,215347.0,1.0923,423,21.7,21.78,21.52,21.57,33501.0,21.6078,364,27.92,28.81,27.92,28.61,847248.0,28.5838,10681,10.19,10.345,10.06,10.33,396065.0,10.249,5242,29.67,30.35,29.67,30.13,107490,30.1838,2492,3.16,3.3,3.06,3.27,913132.0,3.2015,5950,12.79,13.51,12.68,13.45,24446,13.2708,401,51.13,51.815,51.06,51.31,2906505.0,51.429,37273,6.16,6.24,6.0861,6.19,268205.0,6.1602,1491,5.02,5.02,4.91,4.98,4762.0,4.9811,131.0,19.06,20.4999,19.06,20.17,10670,19.9972,211,57.56,58.615,57.42,57.5,4606608.0,57.7333,35975,427.45,433.29,425.28,427.76,334320.0,428.9373,9384,,,,,,,,5.98,6.12,5.89,6.07,9891893.0,6.056,27540,53.21,57.0,53.21,54.33,815.16,55.642,269.0,81.66,84.3381,81.66,83.01,27749,83.284,886,22.58,23.322,22.58,22.99,83330,22.9811,1503,6.55,6.7,6.55,6.7,858.0,6.6571,33.0,10.22,10.65,10.22,10.64,291341.0,10.5188,3539,50.73,51.19,50.455,50.52,2248436.0,50.7119,22997,60.71,62.13,60.71,61.94,1583645.0,61.7998,19170,86.15,87.819,84.68,85.41,2904998.0,85.8975,42737,3.0501,3.13,3.0328,3.11,12223.0,3.0938,74,0.5032,0.5199,0.49,0.49,472817.0,0.4955,1991,3.04,3.04,2.83,2.86,404903.0,2.9083,2051,0.8368,0.8368,0.8,0.803,39441.0,0.812,83,1.6,1.67,1.57,1.62,236111.0,1.6089,1022,2.05,2.11,2.01,2.06,73849.0,2.066,303,4.488,4.7,4.246,4.318,14825.6,4.4284,689,3.79,3.835,3.76,3.81,3817323.0,3.7948,12305,8.3,8.3,8.12,8.2,735457.0,8.2136,8811,72.0011,73.0302,71.7125,72.3377,736627.5281,72.4603,13042,37.15,37.825,37.03,37.29,11390352.0,37.4784,87646,4.66,4.76,4.66,4.73,1181078.0,4.7204,3631,16.31,16.5345,16.18,16.32,204274.0,16.3414,1936,1.25,1.26,1.2,1.24,326979.0,1.2365,1206,10.6128,11.9999,10.6128,11.9999,1695.0,11.1871,64.0,9.85,9.96,9.85,9.86,444018.0,9.884,3581,1.77,1.77,1.63,1.74,178323.0,1.708,1320,51.45,51.93,51.33,51.48,503424.0,51.5649,7046,10.1563,10.2851,10.0869,10.1761,238891.3322,10.1722,3794,249.76,255.66,249.76,253.14,138569.0,252.6425,5174,9.65,9.71,8.95,9.38,39664.0,9.3842,333.0,,,,,,,,139.65,143.53,138.74,143.06,512254.0,141.7969,11049,67.78,68.95,67.48,68.9,330983.0,68.2509,9822,99.0,100.93,99.0,99.27,193362.0,99.6259,5462
2023-10-11,9.86,9.985,9.75,9.86,310939.0,9.8606,5181.0,31.7625,31.7625,31.355,31.485,28164.0,31.5249,753.0,5.16,5.24,4.83,4.93,461220.0,4.9642,4625.0,7.22,7.27,7.09,7.19,143086.0,7.1587,2066.0,1.18,1.23,1.174,1.2,2746716.0,1.1999,7894.0,39.05,39.39,38.4238,39.35,90134.0,39.1825,1401.0,13.85,14.1399,13.67,13.76,387560.0,13.8573,4656.0,9.54,9.89,9.3,9.585,359854.0,9.5422,4266.0,3.46,3.65,3.36,3.39,57562.0,3.4667,444.0,1.53,1.61,1.525,1.6,1597739.0,1.5804,3174.0,10.78,10.78,10.43,10.64,28735.0,10.5971,576.0,1.24,1.25,1.22,1.24,281879.0,1.2345,1112.0,4.61,4.7,4.6,4.63,9974.0,4.6391,75.0,4.07,4.14,4.015,4.07,101232.0,4.079,1141.0,2.79,2.8,2.71,2.73,91999.0,2.7515,670.0,,,,,,,,5.17,5.175,5.07,5.09,949903.0,5.1192,8167.0,3.07,3.25,2.95,3.06,2576463.0,3.0743,11583.0,3.63,3.63,3.43,3.52,144115.0,3.5117,381.0,27.39,27.6,27.07,27.57,167501.0,27.3898,3451.0,28.37,28.58,26.27,26.98,1116375.0,26.8544,18186.0,5.91,5.93,5.61,5.68,46174.0,5.7762,430.0,1.85,1.85,1.785,1.81,161341.0,1.8157,662.0,11.74,11.87,10.94,10.99,133877.0,11.3824,1253.0,,,,,,,,30.55,30.55,29.9201,30.22,25257.0,30.1777,924.0,20.44,20.86,20.2385,20.45,17004.0,20.5042,278.0,6.62,6.68,6.58,6.67,352357.0,6.639,3493.0,,,,,,,,13.2299,13.23,12.58,12.58,17578,12.7943,267,1.5304,1.5309,1.25,1.26,183818.0,1.4244,1023.0,,,,,,,,1.11,1.15,1.07,1.07,188239.0,1.105,515,21.6,21.6726,21.55,21.56,19158.0,21.5844,344,28.52,28.715,28.09,28.38,716462.0,28.3714,12646,10.39,10.59,10.31,10.4,352454.0,10.4041,5059,30.02,30.41,29.48,29.64,117763,29.7204,2926,3.35,3.5,3.105,3.15,996223.0,3.2286,7339,13.28,13.6,13.14,13.23,10363,13.295,314,51.1,51.51,50.51,50.89,3049743.0,50.8196,39405,6.22,6.44,6.2088,6.43,179066.0,6.3478,1515,5.02,5.1099,4.98,5.0,5525.0,5.0502,47.0,20.3499,20.45,19.4714,19.5,15105,19.9875,164,58.13,59.23,57.55,59.22,3880747.0,58.6155,33809,427.81,437.46,427.74,436.69,258625.0,433.5127,8774,,,,,,,,6.14,6.43,6.11,6.41,12953359.0,6.3209,27796,54.0,80.0,54.0,68.5,28857.07,70.719,4381.0,83.01,84.019,82.7501,82.81,24369,83.2186,612,22.98,23.23,22.28,22.43,56325,22.4873,1504,6.6547,6.78,6.6547,6.78,12838.0,6.6959,81.0,10.56,10.62,10.25,10.43,235360.0,10.4041,3686,50.47,50.53,48.59,49.88,4008878.0,49.5024,41671,62.08,62.31,60.58,60.74,1592558.0,60.9244,16055,85.19,85.385,83.27,84.0,1831781.0,83.9239,30542,3.18,3.3,3.0501,3.18,4752.0,3.1601,59,0.51,0.51,0.4912,0.508,221870.0,0.5029,512,2.9,2.955,2.845,2.88,399082.0,2.8781,2568,0.815,0.82,0.7701,0.7701,8661.0,0.7987,70,1.63,1.755,1.63,1.72,223470.0,1.7026,1040,2.05,2.05,2.0,2.0,27415.0,2.0278,205,4.319,4.399,4.001,4.001,27828.8,4.2272,859,3.85,3.94,3.795,3.93,7034206.0,3.8628,18745,8.28,8.35,8.21,8.32,948059.0,8.2971,8768,72.8185,72.9386,71.1835,71.4912,842805.5718,71.5859,13854,37.62,37.62,36.76,37.15,6235876.0,37.0459,54064,4.73,4.84,4.705,4.76,1860716.0,4.7596,4715,16.32,16.6099,15.77,15.97,110790.0,16.0723,932,1.25,1.25,1.19,1.2,663405.0,1.2092,1851,11.95,12.2,11.7001,11.96,47475.0,11.995,137.0,9.86,9.97,9.84,9.97,310425.0,9.9342,3463,1.74,1.74,1.625,1.72,132573.0,1.7141,780,51.35,51.7329,50.02,50.53,540221.0,50.5155,9481,10.1464,10.2058,9.968,10.077,250740.6781,10.0813,4265,251.0,255.265,247.39,250.41,149781.0,250.4079,6093,9.5,9.6899,9.3501,9.6749,10339.0,9.5967,112.0,,,,,,,,143.54,144.93,140.4786,141.34,181647.0,141.5159,5589,69.12,69.9,67.97,68.4,156582.0,68.5627,3022,99.27,100.43,98.58,100.39,202863.0,99.8524,4828
